Prioridade,,FALSO
Alta,"O sistema deve permitir um Modo de emergência: Contato rápido com serviços de ajuda (CVV, emergência médica).",FALSO
Alta,O sistema deve fazer sugestões de práticas de saúde mental para o paciente,FALSO
Média,"O software deve realizar uma avaliação inicial do usuário, após o cadastro, com perguntas sobre seu bem-estar emocional.",FALSO
Alta,"Teria que ter entrevistas, ajuda e análise de psicólogos e psiquiatras para conseguir montar o aplicativo.",FALSO
Alta,"Integração com dispositivos wearables, e aplicativos já consolidados de mercado, que coletam informações precisas sobre a saúde e rotina do usuário.",FALSO
Média,O aplicativo deve permitir que o usuário cadastre dados de seu histórico médico,FALSO
Alta,"O aplicativo pode contar com um sistema de recomendação inteligente baseado em Machine Learning, que analisa o histórico emocional do usuário e suas interações (como respostas aos testes, frequência de crises, tipos de conteúdo acessado, horários de maior instabilidade, entre outros) para sugerir rotinas de bem-estar personalizadas, como meditações específicas, horários ideais para exercícios, ou pausas de autocuidado.",FALSO
Alta,O sistema deve reiteirar ao usuário que é limitado e o tratamento com profissionais da área é o mais adequado em certas situações.,FALSO
Alta,integrar um sensor de glicose com uma IA para monitoramento em tempo real dos niveis de glicose.,FALSO
Alta,"Conexão com dispostivos smarts para acompanhar situação do paciente tal qual batimentos cardiacos, atividades fisicas do usuario para completar o diagnostico",FALSO
Alta,"O aplicativo deve permitir ao usuário criar metas personalizadas para atividades de bem-estar mental, como respiração e meditação, e acompanhar seu progresso para manter a motivação.",FALSO
Alta,"O aplicativo deve permitir que o usuário registre e acompanhe suas emoções ao longo do tempo, gerando um histórico de bem-estar",FALSO
Média,"O aplicativo deverá analisar o comportamento e os sentimentos do usuário, com base em suas interações no app (como respostas a questionários, chats ou registros de humor). A IA deverá fornecer sugestões de técnicas de apoio psicológico personalizadas ao usuário.",FALSO
Média,O aplicativo deve fornecer informações a respeito de práticas que comprovadamente beneficiem a saúde mental,FALSO
Alta,O sistema recomendar profissionais de saúde ao usuário.,FALSO
Média,O aplicativo deve oferecer análise de padrões emocionais e intervenções personalizadas baseadas em terapias comprovadas.Deve incluir suporte de crise 24/7 e integração com profissionais de saúde mental quando necessário.,FALSO
Média,"O sistema deve permitir que o usuário adicione como se sente, ou que ele selecione estados emocionais pré existentes para parametrização.",FALSO
Média,"O sistema deve ser capaz de realizar acompanhamento personalizado para cada usuário, funcionando como uma terapia auxiliar.",FALSO
Média,Os dados dos usuários devem ser criptografados conforme os requisitos da LGPD e as boas práticas de segurança da informação.,FALSO
Média,Integração com smartwatches que monitoram a saúde do usuário por meio de sensores.,FALSO
Média,"O aplicativo deve ser capaz de analisar o comportamento do usuário através de interações diárias, identificar sinais de estresse ou ansiedade, e oferecer recomendações personalizadas de atividades ou terapias utilizando Inteligência Artificial (IA).",FALSO
Baixa,O aplicativo deve aprender com cada interação do usuário para adaptar as respostas de acordo com o histórico emocional do usuário e suas preferências.,FALSO
Média,"O aplicativo deve usar IA para identificar padrões no diário ou nas interações do usuário que possam indicar gatilhos de estresse ou ansiedade, e proativamente sugerir conteúdos de psicoeducação ou exercícios de enfrentamento específicos para esses gatilhos.",FALSO
Média,O sistema deve ter um chatbot com IA para oferecer suporte em saúde mental e recomendações personalizadas.,FALSO
Alta,O software deve ser capaz de armazenar os dados do perfil do usuário.,FALSO
Alta,"O aplicativo deve usar IA para analisar o humor e os sentimentos do usuário com base em entradas como texto, voz ou dados biométricos, ajudando a identificar possíveis problemas de saúde mental.",FALSO
Média,"A inteligência artificial do aplicativo deve utilizar de referências validadas e aceitas internacionalmente no ramo da medicina, psiquiatria e psicologia para fornecer o suporte em saúde mental, como artigos científicos revisados por pares e livros/trabalhos publicados em revistas científicas.",FALSO
Média,"A depender do caso o aplicativo deve poder recomendar o usuário a bons profissionais do ramo na região mais próxima, além disso deve zelar pela integridade dos dados do usuário e ser transparente em como eles são e/ou serão usados.",FALSO
Alta,O sistema deve sugerir atividades com base no estado emocional do usuário.,FALSO
Média,"O aplicativo deve ser integrado ao celular para que, com certas permissões, tenha como contexto a rotina do usuário, levando a saber rotina, gastos, tempo d delocamento a fim de conseguir respostas mais personalizadas para um dado caso clínico.",FALSO
Média,Os usuários devem poder fornecer feedbacks para as respostas.,FALSO
Média,"Garantir a segurança dos dados, visto que possivelmente serão altamente sensíveis",FALSO
Alta,Integração de um diário digital com IA para analisar padrões emocionais e sugerir intervenções personalizadas.,FALSO
Alta,detecção de tendencias autodestrutivas decorrente da saúde mental da pessoa. uma idéia seria comunicar com autoridades em casos de emergência,FALSO
Alta,O aplicativo deve permitir a analise de humor do usuário com base em padrões de escrita e voz.,FALSO
Média,"O sistema deve utilizar IA de processamento de linguagem natural (PLN) para analisar textos e interações do usuário para detectar sinais de ansiedade, depressão, estresse ou outros distúrbios emocionais, ajudando a identificar mudanças no estado mental do usuário.",FALSO
Baixa,"O aplicativo deve contar com um modo de emergência, onde o usuário pode acionar rapidamente contatos de confiança (familiares, amigos ou profissionais de saúde) caso esteja passando por uma crise emocional.",FALSO
Alta,O sistema deve fornecer testes de autoavaliação reconhecidos para monitorar o estado mental do paciente.,FALSO
Alta,O sistema deve oferecer ao usuário a opção de ver informações de profissionais reais e especializados próximos a ele,FALSO
Média,Chat fazer uma entrevista  com o usúario  para identificar o melhor profissional  e o profissional mais  proxímo  da sua localidade para atende-la.,FALSO
Alta,"Através de integração com dispositivos como smartwatchs, pulseiras fitnes e afins, a IA analisará habitos de sono e atividade física, sendo capaz de diagnosticar crises e direcionar o paciente, questionando motivadores e sugerindo abordagens num primeiro momento, sempre encaminhando dados e relatórios para o profissional de saúde responsável por aquele paciente.",FALSO
Média,"O aplicativo deve interagir com o usuário e o colocá-lo em contato com um profissional especializado em saúde mental e notificar os órgãos competentes (polícia, bombeiros ou ambulância) caso determine que o usuário está em risco ou represente um risco a outras pessoas.",FALSO
Média,O aplicativo deve ser capaz de captar a voz do usuário e se basear no tom e modo como usuário está falando.,FALSO
Média,"A IA teria que ser treinada com cuidado e muito apoio de profissionais da área médica especialistas em saúde mental, visto que vai lidar com assuntos sensíveis relacionados à saúde mental do paciente.",FALSO
Média,O aplicativo deve gerar relatório de cada paciente para analise de especialistas.,FALSO
